field,score
tcp_tcp.checksum_0,807
ip_ip.flags_tree_ip.flags.mf_3,806
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_3,805
tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_tls.handshake.extensions_key_share_client_length_2,804
tls_tls.record_tls.handshake_Extension: server_name (len=15)_tls.handshake.extension.len_3,803
eth_eth.src_tree_eth.addr.oui_resolved_1,802
tls_tls.record_tls.handshake_tls.handshake.session_id_length_1,801
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_type_3,800
eth_eth.src_tree_eth.addr.oui_3,799
frame_frame.time_epoch_0,798
eth_eth.src_tree_eth.src.ig_4,797
tls_tls.record_tls.handshake_tls.handshake.type_2,796
tls_tls.record_tls.handshake_Extension: server_name (len=16)_tls.handshake.extension.type_1,795
eth_eth.dst_tree_eth.dst.ig_2,794
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extension.type_2,793
ip_ip.hdr_len_1,792
eth_eth.src_tree_eth.addr_resolved_1,791
eth_eth.src_2,790
tls_tls.record_tls.handshake_tls.handshake.version_3,789
ip_ip.len_3,788
tls_tls.record_tls.handshake_tls.handshake.ciphersuites_tls.handshake.ciphersuite_4,787
frame_frame.encap_type_2,786
tcp_tcp.dstport_1,785
tls_tls.record_tls.handshake_tls.handshake.extensions_length_1,784
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_alg_len_3,783
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_exts_len_1,782
tls_tls.record_tls.record.version_3,781
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_len_1,780
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extension.type_3,779
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extension.type_3,778
tcp_tcp.srcport_1,777
frame_frame.cap_len_3,776
tcp_tcp.window_size_value_1,775
ip_ip.flags_4,774
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extension.len_3,773
eth_eth.src_tree_eth.src.oui_resolved_3,772
tls_tls.record_tls.record.length_3,771
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_len_1,770
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extensions_ec_point_formats_length_3,769
eth_eth.dst_tree_eth.dst.oui_3,768
ip_ip.dsfield_1,767
ip_ip.checksum.status_3,766
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_2,765
eth_eth.dst_tree_eth.dst.lg_3,764
tcp_tcp.stream_2,763
ip_ip.flags_tree_ip.flags.mf_1,762
tls_tls.record_tls.handshake_Extension: server_name (len=25)_Server Name Indication extension_tls.handshake.extensions_server_name_1,761
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extension.type_1,760
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_3,759
tls_tls.record_tls.handshake_Extension: server_name (len=19)_tls.handshake.extension.len_3,758
tls_tls.record_tls.handshake_Extension: server_name (len=17)_tls.handshake.extension.type_2,757
ip_ip.checksum_1,756
tls_tls.record_tls.handshake_Extension: server_name (len=21)_tls.handshake.extension.type_1,755
tls_tls.record_tls.handshake_Extension: server_name (len=17)_tls.handshake.extension.len_3,754
tcp_tcp.checksum.status_3,753
tls_tls.record_tls.handshake_Extension: post_handshake_auth (len=0)_tls.handshake.extension.type_4,752
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extensions.supported_versions_len_3,751
tcp_tcp.checksum_1,750
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_len_4,749
eth_eth.src_tree_eth.addr_resolved_3,748
tls_tls.record_tls.handshake_tls.handshake.version_1,747
tls_tls.record_tls.handshake_Extension: server_name (len=21)_tls.handshake.extension.type_3,746
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.extension.len_3,745
tcp_tcp.urgent_pointer_4,744
tcp_Timestamps_tcp.time_delta_4,743
tcp_tcp.flags_tree_tcp.flags.urg_3,742
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=16)_tls.handshake.extension.len_1,741
ip_ip.dst_4,740
eth_eth.src_tree_eth.addr.oui_resolved_0,739
tcp_tcp.flags_tree_tcp.flags.ae_3,738
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_len_2,737
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_tls.handshake.extension.len_2,736
eth_eth.src_tree_eth.lg_3,735
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_sig_3,734
eth_eth.dst_tree_eth.ig_3,733
ip_ip.checksum_0,732
eth_eth.dst_tree_eth.lg_2,731
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extensions_ec_point_formats_length_2,730
ip_ip.proto_3,729
ip_ip.dsfield_3,728
