field,score
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_4,155
tcp_tcp.flags_tree_tcp.flags.fin_4,154
eth_eth.dst_3,153
eth_eth.src_tree_eth.src.oui_resolved_0,152
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_responder_ids_len_1,151
ip_ip.dsfield_tree_ip.dsfield.dscp_4,150
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.type_1,149
tls_tls.record_tls.handshake_Extension: session_ticket (len=0)_tls.handshake.extension.type_2,148
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_4,147
ip_ip.dsfield_tree_ip.dsfield.ecn_2,146
tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_tls.handshake.extensions_key_share_client_length_1,145
ip_ip.len_1,144
eth_eth.src_tree_eth.lg_0,143
frame_frame.cap_len_2,142
tls_tls.record_tls.handshake_Extension: key_share (len=38)_tls.handshake.extension.len_2,141
eth_eth.src_tree_eth.addr_4,140
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_key_exchange_length_1",139
eth_eth.src_tree_eth.src.ig_1,138
tcp_tcp.analysis_tcp.analysis.push_bytes_sent_1,137
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_4,136
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.extension.len_2,135
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_4,134
eth_eth.dst_4,133
eth_eth.dst_tree_eth.lg_0,132
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_key_exchange_2",131
frame_frame.protocols_0,130
tcp_tcp.seq_raw_2,129
tcp_tcp.flags_tree_tcp.flags.push_2,128
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_hash_4,127
tls_tls.record_tls.handshake_tls.handshake.cipher_suites_length_1,126
tls_tls.record_tls.handshake_Extension: server_name (len=24)_Server Name Indication extension_tls.handshake.extensions_server_name_len_1,125
eth_eth.dst_tree_eth.dst.oui_resolved_4,124
tcp_tcp.flags_tree_tcp.flags.ns_0,123
tcp_tcp.flags_tree_tcp.flags.cwr_4,122
tcp_tcp.srcport_2,121
tcp_tcp.dstport_4,120
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_type_2,119
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_type_3,118
eth_eth.src_tree_eth.src_resolved_2,117
ip_ip.dsfield_tree_ip.dsfield.ecn_0,116
tcp_tcp.checksum_3,115
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extensions_supported_groups_length_2,114
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_alg_len_4,113
frame_frame.time_relative_1,112
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extension.type_4,111
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_type_4,110
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extensions_supported_groups_tls.handshake.extensions_supported_group_3,109
tcp_tcp.window_size_0,108
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_responder_ids_len_4,107
eth_eth.src_tree_eth.addr.oui_0,106
http_GET / HTTP/1.1\r\n_http.request.method_0,105
tls_tls.record_tls.handshake_tls.handshake.comp_methods_tls.handshake.comp_method_3,104
tls_tls.record_tls.handshake_tls.handshake.session_id_3,103
ip_ip.flags_tree_ip.flags.rb_3,102
tcp_tcp.completeness_4,101
tls_tls.record_tls.handshake_tls.handshake.ciphersuites_tls.handshake.ciphersuite_1,100
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_hash_2,99
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_3,98
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extensions_supported_groups_length_4,97
tcp_tcp.flags_tree_tcp.flags.res_3,96
eth_eth.type_3,95
tcp_tcp.window_size_scalefactor_0,94
eth_eth.dst_tree_eth.dst.lg_1,93
tcp_tcp.ack_raw_3,92
tcp_tcp.flags_tree_tcp.flags.reset_0,91
ip_ip.ttl_4,90
tcp_tcp.flags_tree_tcp.flags.push_4,89
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extension.len_3,88
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_sig_4,87
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_4,86
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_4,85
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extensions.supported_version_4,84
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_sig_1,83
tls_tls.record_tls.handshake_Extension: key_share (len=38)_tls.handshake.extension.type_4,82
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_3,81
tls_tls.record_tls.handshake_tls.handshake.type_4,80
tcp_tcp.dstport_0,79
eth_eth.dst_tree_eth.dst.ig_4,78
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=16)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_hash_1,77
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_alg_len_2,76
eth_eth.dst_0,75
frame_frame.encap_type_3,74
tcp_Timestamps_tcp.time_relative_2,73
tls_tls.record_tls.handshake_Extension: server_name (len=17)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_3,72
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_3,71
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_type_2,70
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extension.type_3,69
tcp_Timestamps_tcp.time_delta_3,68
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_sig_3,67
ip_ip.src_3,66
http_http.request.full_uri_0,65
ip_ip.flags_2,64
eth_eth.dst_tree_eth.addr.oui_1,63
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_alg_len_1,62
eth_eth.dst_tree_eth.dst_resolved_3,61
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_hash_2,60
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_type_3,59
tcp_tcp.nxtseq_1,58
tls_tls.record_tls.handshake_Extension: server_name (len=15)_tls.handshake.extension.type_1,57
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_hash_3,56
ip_ip.proto_1,55
eth_eth.dst_tree_eth.dst_resolved_0,54
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_type_1,53
ip_ip.src_1,52
frame_frame.time_delta_3,51
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_3,50
tcp_tcp.flags_tree_tcp.flags.urg_1,49
frame_frame.offset_shift_3,48
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extensions.supported_version_3,47
tls_tls.record_tls.handshake_Extension: server_name (len=23)_Server Name Indication extension_tls.handshake.extensions_server_name_type_2,46
tls_tls.record_tls.handshake_tls.handshake.comp_methods_length_1,45
tls_tls.record_tls.handshake_Extension: server_name (len=17)_tls.handshake.extension.type_3,44
ip_ip.proto_2,43
tls_tls.record_tls.handshake_Extension: post_handshake_auth (len=0)_tls.handshake.extension.type_2,42
eth_eth.dst_tree_eth.addr_resolved_0,41
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extension.len_4,40
ip_ip.flags_tree_ip.flags.mf_0,39
tcp_tcp.hdr_len_2,38
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_4,37
tls_tls.record_tls.handshake_Extension: server_name (len=16)_tls.handshake.extension.type_4,36
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.extension.type_4,35
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extensions_supported_groups_length_2,34
frame_frame.encap_type_0,33
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_len_2,32
frame_frame.protocols_4,31
http_GET / HTTP/1.1\r\n__ws.expert__ws.expert.message_0,30
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_4,29
tcp_tcp.ack_raw_2,28
eth_eth.src_tree_eth.src.oui_resolved_4,27
tcp_tcp.urgent_pointer_2,26
tcp_Timestamps_tcp.time_delta_2,25
tls_tls.record_tls.handshake_Extension: server_name (len=15)_tls.handshake.extension.len_1,24
tls_tls.record_tls.handshake_Extension: server_name (len=19)_tls.handshake.extension.type_4,23
ip_ip.dst_2,22
tcp_tcp.flags_tree_tcp.flags.push_0,21
tcp_tcp.stream_0,20
tcp_tcp.flags_tree_tcp.flags.ae_4,19
http_GET / HTTP/1.1\r\n__ws.expert__ws.expert.severity_0,18
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extensions.supported_versions_len_4,17
frame_frame.number_2,16
ip_ip.flags_tree_ip.flags.df_0,15
tls_tls.record_tls.handshake_tls.handshake.session_id_2,14
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_1,13
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.extension.psk_ke_mode_4,12
tls_tls.record_tls.handshake_Extension: post_handshake_auth (len=0)_tls.handshake.extension.type_3,11
ip_ip.dsfield_tree_ip.dsfield.dscp_1,10
eth_eth.dst_tree_eth.dst_resolved_2,9
tls_tls.record_tls.handshake_Extension: supported_versions (len=5)_tls.handshake.extension.len_4,8
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_type_4,7
tcp_tcp.flags_tree_tcp.flags.cwr_0,6
tls_tls.record_tls.handshake_Extension: extended_master_secret (len=0)_tls.handshake.extension.len_1,5
http_http.request_0,4
frame_frame.len_4,3
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_len_2,2
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_len_4,1
tls_tls.record_tls.handshake_Extension: post_handshake_auth (len=0)_tls.handshake.extension.len_3,0
